observation_date,ECBASSETSW
2010-10-29,1895679.0000000000
2010-11-05,1886353.0000000000
2010-11-12,1878979.0000000000
2010-11-19,1888388.0000000000
2010-11-26,1915961.0000000000
2010-12-03,1924130.0000000000
2010-12-10,1951661.0000000000
2010-12-17,1945232.0000000000
2010-12-24,1926154.0000000000
2010-12-31,2004432.0000000000
2011-01-07,1965895.0000000000
2011-01-14,1957146.0000000000
2011-01-21,1961122.0000000000
2011-01-28,1965568.0000000000
2011-02-04,2015599.0000000000
2011-02-11,1956143.0000000000
2011-02-18,1958491.0000000000
2011-02-25,1952278.0000000000
2011-03-04,1939219.0000000000
2011-03-11,1953018.0000000000
2011-03-18,1940378.0000000000
2011-03-25,1928055.0000000000
2011-04-01,1888496.0000000000
2011-04-08,1873111.0000000000
2011-04-15,1885017.0000000000
2011-04-22,1887882.0000000000
2011-04-29,1894101.0000000000
2011-05-06,1901850.0000000000
2011-05-13,1898665.0000000000
2011-05-20,1895870.0000000000
2011-05-27,1900610.0000000000
2011-06-03,1898989.0000000000
2011-06-10,1892579.0000000000
2011-06-17,1914538.0000000000
2011-06-24,1972174.0000000000
2011-07-01,1944583.0000000000
2011-07-08,1919501.0000000000
2011-07-15,1957194.0000000000
2011-07-22,2006061.0000000000
2011-07-29,2000471.0000000000
2011-08-05,2004290.0000000000
2011-08-12,2073026.0000000000
2011-08-19,2076647.0000000000
2011-08-26,2071633.0000000000
2011-09-02,2073122.0000000000
2011-09-09,2086364.0000000000
2011-09-16,2134721.0000000000
2011-09-23,2180075.0000000000
2011-09-30,2288571.0000000000
2011-10-07,2295727.0000000000
2011-10-14,2310857.0000000000
2011-10-21,2313175.0000000000
2011-10-28,2333373.0000000000
2011-11-04,2328553.0000000000
2011-11-11,2343547.0000000000
2011-11-18,2393350.0000000000
2011-11-25,2419548.0000000000
2011-12-02,2435688.0000000000
2011-12-09,2460813.0000000000
2011-12-16,2493806.0000000000
2011-12-23,2733235.0000000000
2011-12-30,2735628.0000000000
2012-01-06,2687871.0000000000
2012-01-13,2676987.0000000000
2012-01-20,2706197.0000000000
2012-01-27,2682576.0000000000
2012-02-03,2662126.0000000000
2012-02-10,2655784.0000000000
2012-02-17,2663261.0000000000
2012-02-24,2692598.0000000000
2012-03-02,3023159.0000000000
