date,Meeting_ECB,Meeting_FED,EUR/USD,VIX,surprise_index,cip,sov_diff2Y,BS,Money_mkt,d_rate
2008-01-31,0.0,0.0,1.4711096774193548,28.595483870967744,-0.1252984848484848,69.32681335053776,1.4203580645161291,-1.2545924055730617,1.1383843548387094,-0.975806451612903
2008-02-29,0.0,0.0,1.4743206896551724,26.654827586206896,-0.2922429467084639,58.55680352420248,1.5778586206896552,-1.1444873925339434,1.2401051724137933,0.0
2008-03-31,0.0,0.0,1.5515306451612905,28.710645161290323,-0.3173225806451613,87.8633005174198,1.8651967741935482,-1.154450239169655,1.7595845161290322,0.338709677419355
2008-04-30,0.0,0.0,1.57602,24.573833333333333,-0.2876357142857142,89.95869317570849,1.6569216666666664,-1.1266739894695503,1.9131966666666669,0.7583333333333333
2008-05-31,0.0,0.0,1.5559306451612902,22.350645161290323,-0.15977419354838707,43.12150080592848,1.5577290322580644,-1.0901627848350703,2.1448497849462367,1.0
2008-06-30,0.0,0.0,1.5585133333333334,26.452833333333334,-0.2507809523809523,55.45960890276858,1.6674566666666668,-1.1077686680100778,2.0657863888888888,1.0
2008-07-31,0.0,0.0,1.5775951612903227,26.903387096774193,-0.24235887096774192,74.04430396601354,2.092574193548387,-1.0372170555035476,2.060262096774194,1.185483870967742
2008-08-31,0.0,0.0,1.4948306451612905,24.693709677419356,0.11096947004608293,69.38290947884856,2.009232258064516,-1.019804634407186,1.9921130645161291,1.25
2008-09-30,0.0,0.0,1.4373466666666666,35.339666666666666,-0.0743238095238095,180.5826764294367,2.090956666666666,-1.0484857316528304,1.751553,1.25
2008-10-31,0.0,0.0,1.327733870967742,53.79387096774193,-0.3072488479262673,166.01095619579607,2.0512838709677417,-1.4083779735010415,1.5588858064516131,1.6693548387096775
2008-11-30,0.0,1.0,1.2719733333333332,50.904,-0.5299090909090909,97.2010637332795,1.811285,-1.4633413855420287,1.7819289999999999,1.9333333333333331
